Entity,Code,Year,Value,
Finland,FIN,2021,6.099999905,
Pakistan,PAK,2000,11.80000019,
Pakistan,PAK,2011,7.900000095,
Liechtenstein,LIE,2021,6.099999905,
Palau,PLW,2011,11.10000038,
North Macedonia,MKD,2021,6.099999905,
Palestine,PSE,2011,9.199999809,
Vietnam,VNM,2021,6.099999905,
Panama,PAN,2011,9.399999619,
Latvia,LVA,2021,5.900000095,
Papua New Guinea,PNG,2000,15.5,
Papua New Guinea,PNG,2011,7.599999905,
Luxembourg,LUX,2021,5.900000095,
Paraguay,PRY,2011,6.5,
Sub-Saharan Africa,,2021,5.808217049,
Peru,PER,2011,6,
Central African Republic,CAF,2021,5.800000191,
Philippines,PHL,2011,9.699999809,
Chad,TCD,2021,5.800000191,
Poland,POL,2011,9,
Democratic Republic of Congo,COD,2021,5.800000191,
Portugal,PRT,2011,9.600000381,
Lithuania,LTU,2021,5.800000191,
Puerto Rico,PRI,2011,13,
Slovakia,SVK,2021,5.800000191,
Qatar,QAT,2011,19.79999924,
Slovenia,SVN,2021,5.800000191,
Romania,ROU,2011,7.699999809,
Georgia,GEO,2021,5.699999809,
Russia,RUS,2011,9.699999809,
Armenia,ARM,2021,5.599999905,
Rwanda,RWA,2011,3.099999905,
Azerbaijan,AZE,2021,5.599999905,
Saint Kitts and Nevis,KNA,2000,12.10000038,
Saint Kitts and Nevis,KNA,2011,8.5,
Belarus,BLR,2021,5.599999905,
Saint Lucia,LCA,2011,8.399999619,
Moldova,MDA,2021,5.599999905,
Saint Vincent and the Grenadines,VCT,2011,8.800000191,
Russia,RUS,2021,5.599999905,
Samoa,WSM,2011,7.699999809,
Ukraine,UKR,2021,5.599999905,
San Marino,SMR,2011,5.5,
Bolivia,BOL,2021,5.5,
Sao Tome and Principe,STP,2011,5.5,
Cameroon,CMR,2021,5.5,
Saudi Arabia,SAU,2011,19.60000038,
Congo,COG,2021,5.5,
Senegal,SEN,2011,3.200000048,
Equatorial Guinea,GNQ,2021,5.5,
Serbia,SRB,2011,7.699999809,
Gabon,GAB,2021,5.5,
Seychelles,SYC,2011,12.10000038,
Iceland,ISL,2021,5.5,
Sierra Leone,SLE,2011,3.200000048,
Sao Tome and Principe,STP,2021,5.5,
Singapore,SGP,2011,9.5,
Argentina,ARG,2021,5.400000095,
Slovakia,SVK,2011,5.699999809,
Yemen,YEM,2021,5.400000095,
Slovenia,SVN,2011,7.5,
Denmark,DNK,2021,5.300000191,
Solomon Islands,SLB,2011,15.30000019,
France,FRA,2021,5.300000191,
Somalia,SOM,2011,4.300000191,
Botswana,BWA,2021,5.199999809,
South Africa,ZAF,2011,7,
Niger,NER,2021,5.199999809,
South Asia,,2011,8.900556564,
Honduras,HND,2021,5.099999905,
South Korea,KOR,2011,7.5,
Ethiopia,ETH,2021,5,
Sweden,SWE,2021,5,
Spain,ESP,2011,6.300000191,
Croatia,HRV,2021,4.800000191,
Sri Lanka,LKA,2011,7.5,
Peru,PER,2021,4.800000191,
Sub-Saharan Africa,,2011,4.525923252,
Angola,AGO,2021,4.599999905,
Sudan,SDN,2011,8.600000381,
Austria,AUT,2021,4.599999905,
Suriname,SUR,2011,8.899999619,
Eswatini,SWZ,2021,4.599999905,
Sweden,SWE,2011,4.199999809,
Lesotho,LSO,2021,4.599999905,
Switzerland,CHE,2011,5.900000095,
Madagascar,MDG,2021,4.599999905,
Syria,SYR,2011,9.899999619,
Switzerland,CHE,2021,4.599999905,
Tajikistan,TJK,2011,6.300000191,
Uganda,UGA,2021,4.599999905,
Tanzania,TZA,2011,2.799999952,
Netherlands,NLD,2021,4.5,
Thailand,THA,2011,7.5,
Ecuador,ECU,2021,4.400000095,
Timor,TLS,2011,7.5,
Aruba,ABW,2021,4.300000191,
Togo,TGO,2011,3.299999952,
Kenya,KEN,2021,4,
Tonga,TON,2000,11.5,
Tonga,TON,2011,12.69999981,
Faeroe Islands,FRO,2021,3.799999952,
Trinidad and Tobago,TTO,2000,14.10000038,
Trinidad and Tobago,TTO,2011,12.69999981,
Belgium,BEL,2021,3.599999905,
Tunisia,TUN,2011,9.5,
Nigeria,NGA,2021,3.599999905,
Turkey,TUR,2011,7.900000095,
Norway,NOR,2021,3.599999905,
Turkmenistan,TKM,2011,2.700000048,
Greenland,GRL,2021,3.299999952,
Tuvalu,TUV,2011,19.20000076,
Mozambique,MOZ,2021,3.299999952,
Uganda,UGA,2011,2.799999952,
Senegal,SEN,2021,3.099999905,
Ukraine,UKR,2011,2.900000095,
Ireland,IRL,2021,3,
United Arab Emirates,ARE,2011,18.79999924,
Ghana,GHA,2021,2.599999905,
United Kingdom,GBR,2011,5.199999809,
Burkina Faso,BFA,2021,2.099999905,
United States,USA,2011,9.399999619,
Cape Verde,CPV,2021,2.099999905,
United States Virgin Islands,VIR,2011,12.10000038,
Cote d'Ivoire,CIV,2021,2.099999905,
Upper middle income,,2011,9.084438324,
Guinea,GIN,2021,2.099999905,
Uruguay,URY,2011,5.699999809,
Guinea-Bissau,GNB,2021,2.099999905,
Uzbekistan,UZB,2011,6.400000095,
Liberia,LBR,2021,2.099999905,
Vanuatu,VUT,2011,16.10000038,
Mali,MLI,2021,2.099999905,
Venezuela,VEN,2011,10.19999981,
Mauritania,MRT,2021,2.099999905,
Vietnam,VNM,2011,3.200000048,
Sierra Leone,SLE,2021,2.099999905,
World,OWID_WRL,2011,8.156354904,
Togo,TGO,2021,2.099999905,
Yemen,YEM,2011,9.600000381,
Zimbabwe,ZWE,2021,2.099999905,
Zambia,ZMB,2011,4.800000191,
Gambia,GMB,2021,1.899999976,
Zimbabwe,ZWE,2011,9.800000191,
Benin,BEN,2021,1.100000024,
